"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","Truly Liable",0.5,0,0.499991,0.722392,1,1,1,1,0.710901,0.632449,,,0.525685,,,,,0.0124089,0.187572,0.274334,0.764751,10.6023,9.15214,19.7544,0.245575,1000.12,999,0.245575,0.0525714,0.397712,0.450283,0.00709439,0.251597,0,0.245575,0,0.525685,0.623389,0.0124089,0.187572,0,1,0,-4.93863E-05,1,1,0,0,0.525685,0.0124089,0.187572,0.0645368,0.209797
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","Truly Not Liable",0.5,0,0.500009,0.277601,1,1,1,1,0.367545,0.289088,,,0.525663,,,,,0.187586,0.0124074,0.274344,0.235232,10.1521,9.6023,19.7544,0.245576,1000.03,999.667,0.245576,0.397701,0,0.397701,0.251587,0,0,0.245576,0,0.525663,0.376612,0.187586,0.0124074,0,0,0,1.22476E-05,1,1,0,0,0.525663,0.187586,0.0124074,0.209809,0.0645343
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","AllCount",3960,0,3960,0.499992,3960,3960,3960,3960,0.53922,0.460765,,,2081.67,,,,,395.996,395.952,1086.38,1079.96,10.3772,9.37722,19.7544,0.245575,1000.07,999.333,0.245575,0.225139,0.198852,0.423991,0.129343,0.125796,0,0.245575,0,2081.67,0.500001,395.996,395.952,0,1979.96,0,-1.85688E-05,3960,3960,0,0,2081.67,395.996,395.952,543.211,543.171
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","Liability Strength1",0.1159,0,0.115877,0.05,1,1,1,1,0.260249,0.13294,,,0.342082,,,,,0.432995,8.55589E-08,0.224922,0.0204164,9.97438,9.78375,19.7581,0.241869,999.982,999.884,0.241869,0.210785,0.026015,0.2368,0.0649029,0.0272484,0,0.241869,0,0.342082,0.265217,0.432995,8.55589E-08,0,0.0253652,0,8.97708E-06,1,1,0,0,0.342082,0.432995,8.55589E-08,0.22033,0.0045921
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","Liability Strength2",0.1102,0,0.110239,0.15,1,1,1,1,0.276085,0.176345,,,0.463117,,,,,0.272439,1.66578E-06,0.264443,0.0517848,10.0206,9.73452,19.7552,0.244833,999.997,999.842,0.244833,0.250907,0.0541709,0.305078,0.096028,0.0549761,0,0.244833,0,0.463117,0.279336,0.272439,1.66578E-06,0,0.0553128,0,8.94245E-06,1,1,0,0,0.463117,0.272439,1.66578E-06,0.250748,0.0136941
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","Liability Strength3",0.1002,0,0.100217,0.25,1,1,1,1,0.309821,0.239652,,,0.575104,,,,,0.137268,2.59392E-05,0.287603,0.118043,10.0872,9.66625,19.7534,0.24657,1000.01,999.771,0.24657,0.295496,0.106248,0.401744,0.142804,0.103283,0,0.24657,0,0.575104,0.306883,0.137268,2.59392E-05,0,0.116395,0,1.22897E-05,1,1,0,0,0.575104,0.137268,2.59392E-05,0.253653,0.0339495
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","Liability Strength4",0.09,0,0.0900083,0.35,1,1,1,1,0.370668,0.326238,,,0.6469,,,,,0.0516892,0.000301588,0.30111,0.235625,10.18,9.57238,19.7524,0.247583,1000.04,999.656,0.247583,0.332304,0.187448,0.519752,0.201376,0.172172,0,0.247583,0,0.6469,0.359526,0.0516892,0.000301588,0,0.228605,0,2.43395E-05,1,1,0,0,0.6469,0.0516892,0.000301588,0.230161,0.070949
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","Liability Strength5",0.0837,0,0.0836696,0.45,1,1,1,1,0.460743,0.431448,,,0.67267,,,,,0.0136976,0.0024661,0.311166,0.404463,10.3047,9.44693,19.7517,0.248337,1000.06,999.483,0.248337,0.339499,0.278116,0.617615,0.246771,0.23522,0,0.248337,0,0.67267,0.446852,0.0136976,0.0024661,0,0.400016,0,4.07355E-05,1,1,0,0,0.67267,0.0136976,0.0024661,0.185311,0.125855
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","Liability Strength6",0.0837,0,0.0836692,0.55,1,1,1,1,0.56855,0.539255,,,0.672672,,,,,0.00246611,0.0136973,0.311164,0.595537,10.4469,9.30474,19.7517,0.248337,1000.09,999.276,0.248337,0.295718,0.331836,0.627554,0.237826,0.245626,0,0.248337,0,0.672672,0.553148,0.00246611,0.0136973,0,0.599984,0,3.58542E-05,1,1,0,0,0.672672,0.00246611,0.0136973,0.125855,0.18531
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","Liability Strength7",0.09,0,0.0900068,0.65,1,1,1,1,0.673758,0.629331,,,0.646909,,,,,0.000301586,0.0516872,0.301102,0.764375,10.5724,9.18004,19.7524,0.247583,1000.11,999.082,0.247583,0.218564,0.329864,0.548428,0.176671,0.20101,0,0.247583,0,0.646909,0.640475,0.000301586,0.0516872,0,0.771395,0,-8.00279E-06,1,1,0,0,0.646909,0.000301586,0.0516872,0.0709471,0.230155
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","Liability Strength8",0.1002,0,0.100213,0.75,1,1,1,1,0.760341,0.690179,,,0.575126,,,,,2.59388E-05,0.137261,0.287587,0.881957,10.6662,9.08718,19.7534,0.246569,1000.13,998.919,0.246569,0.153509,0.294907,0.448416,0.10986,0.142716,0,0.246569,0,0.575126,0.693118,2.59388E-05,0.137261,0,0.883605,0,-6.53715E-05,1,1,0,0,0.575126,2.59388E-05,0.137261,0.0339477,0.25364
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","Liability Strength9",0.1102,0,0.110233,0.85,1,1,1,1,0.823647,0.723915,,,0.463149,,,,,1.66575E-06,0.272426,0.264424,0.948215,10.7345,9.02065,19.7552,0.244832,1000.14,998.783,0.244832,0.118652,0.2508,0.369452,0.0635617,0.0960141,0,0.244832,0,0.463149,0.720664,1.66575E-06,0.272426,0,0.944687,0,-9.99377E-05,1,1,0,0,0.463149,1.66575E-06,0.272426,0.0136931,0.250731
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","Liability Strength10",0.1159,0,0.115867,0.95,1,1,1,1,0.867052,0.739751,,,0.342117,,,,,8.55584E-08,0.432978,0.224905,0.979584,10.7837,8.97439,19.7581,0.241868,1000.15,998.678,0.241868,0.105698,0.210776,0.316474,0.0374201,0.0649043,0,0.241868,0,0.342117,0.734782,8.55584E-08,0.432978,0,0.974635,0,-0.000104755,1,1,0,0,0.342117,8.55584E-08,0.432978,0.00459176,0.220313
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","PLiabilitySignal1",0.0863,0,0.08626,0.149352,1,1,1,1,0.25,0.189651,,,0.486665,,,,,0.513335,0,0,,10.0288,9.74619,19.775,0.225,1000,999.86,0.225,0.22706,0.0724194,0.299479,0.0780786,0.0674675,0,0.225,0,0.486665,0.290356,0.513335,0,0,0.0809518,0,-1.88523,1,1,0,0,0.486665,0.513335,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","PLiabilitySignal2",0.102,0,0.10203,0.190383,1,1,1,1,0.25,0.218789,,,0.540675,,,,,0.459325,0,0,,10.0515,9.72348,19.775,0.225,1000.01,999.842,0.225,0.233108,0.0997268,0.332835,0.0848212,0.0891556,0,0.225,0,0.540675,0.303364,0.459325,0,0,0.116849,0,-1.15786,1,1,0,0,0.540675,0.459325,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","PLiabilitySignal3",0.1068,0,0.10676,0.250256,1,1,1,1,0.25,0.264776,,,0.614212,,,,,0.0829313,0,0.302857,0.0835612,10.0996,9.65269,19.7523,0.247714,1000.02,999.769,0.247714,0.26766,0.140635,0.408295,0.121386,0.118699,0,0.247714,0,0.614212,0.322601,0.0829313,0,0,0.178836,0,-0.58081,1,1,0,0,0.614212,0.0829313,0,0.27755,0.0253071
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","PLiabilitySignal4",0.1042,0,0.10421,0.334236,1,1,1,1,0.25,0.333291,,,0.706142,,,,,0,0,0.293858,0.114061,10.1564,9.59659,19.753,0.247039,1000.04,999.717,0.247039,0.266142,0.206016,0.472158,0.132169,0.16306,0,0.247039,0,0.706142,0.348904,0,0,0,0.279183,0,-0.20768,1,1,0,0,0.706142,0,0,0.260341,0.0335178
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","PLiabilitySignal5",0.1008,0,0.10075,0.441376,1,1,1,1,0.25,0.422934,,,0.804563,,,,,0,0,0.195437,0.15844,10.2174,9.54298,19.7603,0.239658,1000.05,999.673,0.239658,0.236531,0.295092,0.531623,0.123753,0.219768,0,0.239658,0,0.804563,0.380614,0,0,0,0.42018,0,-0.03883,1,1,0,0,0.804563,0,0,0.164472,0.030965
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","PLiabilitySignal6",0.1008,0,0.10075,0.558629,1,1,1,1,0.75,0.518835,,,0.57966,,,,,0,0,0.42034,0.367981,10.4612,9.28232,19.7435,0.256526,1000.08,999.225,0.256525,0.255992,0.247541,0.503533,0.214197,0.150585,0,0.256525,0,0.57966,0.75,0,0,0,0.579827,0,0.03874,1,1,0,0,0.57966,0,0,0.265663,0.154677
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","PLiabilitySignal7",0.1042,0,0.10421,0.665769,1,1,1,1,0.75,0.600011,,,0.72065,,,,,0,0,0.27935,0.482021,10.5522,9.20188,19.754,0.245951,1000.11,999.145,0.245951,0.200137,0.282387,0.482525,0.169824,0.144667,0,0.245951,0,0.72065,0.75,0,0,0,0.720823,0,0.20759,1,1,0,0,0.72065,0,0,0.144698,0.134652
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","PLiabilitySignal8",0.1068,0,0.10676,0.749734,1,1,1,1,0.764713,0.65612,,,0.700729,,,,,0,0.0586229,0.240648,0.656539,10.6206,9.13631,19.757,0.243049,1000.12,999.037,0.243049,0.158728,0.28878,0.447508,0.128755,0.133859,0,0.243049,0,0.700729,0.75,0,0.0586229,0,0.821151,0,0.58099,1,1,0,0,0.700729,0,0.0586229,0.0826533,0.157995
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","PLiabilitySignal9",0.102,0,0.10203,0.809608,1,1,1,1,0.95,0.690176,,,0,,,,,0,0.472908,0.527092,0.838462,10.7826,8.95288,19.7355,0.264532,1000.14,998.526,0.264532,0.210856,0.171068,0.381923,0.127157,0.0872175,0,0.264532,0,0,,0,0.472908,0,0.88314,0,1.15804,1,1,0,0,0,0,0.472908,0.0851454,0.441947
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","PLiabilitySignal10",0.0862,0,0.08624,0.850648,1,1,1,1,0.95,0.709726,,,0,,,,,0,0.527349,0.472651,0.889928,10.8178,8.9218,19.7396,0.260449,1000.14,998.48,0.260449,0.191578,0.157292,0.34887,0.101526,0.0653602,0,0.260449,0,0,,0,0.527349,0,0.919048,0,1.88523,1,1,0,0,0,0,0.527349,0.0520255,0.420626
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","DLiabilitySignal1",0.0863,0,0.0862637,0.149358,1,1,1,1,0.290287,0.05,,,0,,,,,0.527319,0,0.472681,0.11008,9.92181,9.81774,19.7395,0.260451,999.956,999.861,0.260451,0.159379,0.0781597,0.237538,0.0656777,0.0866208,0,0.260451,0,0,,0.527319,0,0,0.080957,0,1.88536,1,1,0,0,0,0.527319,0,0.420649,0.0520325
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","DLiabilitySignal2",0.102,0,0.102029,0.190386,1,1,1,1,0.309815,0.05,,,0,,,,,0.472915,0,0.527085,0.161528,9.95287,9.7826,19.7355,0.264531,999.962,999.806,0.264531,0.175565,0.103204,0.278769,0.0878896,0.112869,0,0.264531,0,0,,0.472915,0,0,0.116854,0,1.15791,1,1,0,0,0,0.472915,0,0.441946,0.085139
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","DLiabilitySignal3",0.1068,0,0.106758,0.25026,1,1,1,1,0.343872,0.235286,,,0.700728,,,,,0.0586307,0,0.240641,0.34345,10.1363,9.62065,19.757,0.243048,1000.03,999.709,0.243048,0.295461,0.134695,0.430156,0.13486,0.125374,0,0.243048,0,0.700728,0.25,0.0586307,0,0,0.178843,0,0.580883,1,1,0,0,0.700728,0.0586307,0,0.157993,0.0826483
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","DLiabilitySignal4",0.1042,0,0.104208,0.334228,1,1,1,1,0.399982,0.25,,,0.720661,,,,,0,0,0.279339,0.517975,10.2019,9.55217,19.754,0.24595,1000.05,999.606,0.24595,0.296637,0.187396,0.484033,0.146803,0.167913,0,0.24595,0,0.720661,0.25,0,0,0,0.279173,0,0.207545,1,1,0,0,0.720661,0,0,0.134648,0.144691
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","DLiabilitySignal5",0.1008,0,0.100751,0.441373,1,1,1,1,0.481167,0.25,,,0.579651,,,,,0,0,0.420349,0.632015,10.2823,9.46116,19.7435,0.256526,1000.06,999.43,0.256526,0.276867,0.243362,0.52023,0.154986,0.212304,0,0.256526,0,0.579651,0.25,0,0,0,0.420176,0,0.0387763,1,1,0,0,0.579651,0,0,0.154682,0.265667
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","DLiabilitySignal6",0.1008,0,0.10075,0.558621,1,1,1,1,0.577057,0.75,,,0.80458,,,,,0,0,0.19542,0.841556,10.543,9.21737,19.7603,0.239656,1000.12,999.203,0.239656,0.31658,0.235076,0.551656,0.222991,0.123535,0,0.239656,0,0.80458,0.619385,0,0,0,0.579815,0,-0.0388902,1,1,0,0,0.80458,0,0,0.0309631,0.164457
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","DLiabilitySignal7",0.1042,0,0.104206,0.665766,1,1,1,1,0.666711,0.75,,,0.706157,,,,,0,0,0.293843,0.885937,10.5966,9.15637,19.753,0.247038,1000.12,999.069,0.247038,0.241243,0.264898,0.506142,0.168344,0.131982,0,0.247038,0,0.706157,0.651102,0,0,0,0.72082,0,-0.207657,1,1,0,0,0.706157,0,0,0.0335164,0.260326
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","DLiabilitySignal8",0.1068,0,0.106754,0.749735,1,1,1,1,0.735212,0.75,,,0.614239,,,,,0,0.0829503,0.30281,0.916437,10.6527,9.0996,19.7523,0.247711,1000.13,998.951,0.247711,0.187651,0.266928,0.454579,0.125434,0.121275,0,0.247711,0,0.614239,0.677397,0,0.0829503,0,0.821152,0,-0.580993,1,1,0,0,0.614239,0,0.0829503,0.0253037,0.277507
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","DLiabilitySignal9",0.102,0,0.102024,0.80961,1,1,1,1,0.7812,0.75,,,0.540705,,,,,0,0.459295,0,,10.7235,9.05153,19.775,0.225,1000.14,998.875,0.225,0.147993,0.233113,0.381106,0.0945873,0.0848244,0,0.225,0,0.540705,0.696634,0,0.459295,0,0.883143,0,-1.15802,1,1,0,0,0.540705,0,0.459295,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","DLiabilitySignal10",0.0863,0,0.0862547,0.850647,1,1,1,1,0.810337,0.75,,,0.486714,,,,,0,0.513286,0,,10.7462,9.02882,19.775,0.225,1000.14,998.823,0.225,0.127091,0.227075,0.354165,0.0736171,0.0780868,0,0.225,0,0.486714,0.709645,0,0.513286,0,0.91905,0,-1.88533,1,1,0,0,0.486714,0,0.513286,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","MutOptLiability5",0.0266,0,0.0266096,0.499977,1,1,1,1,0.846755,0.153225,,,0,,,,,0,0,1,0.499968,10.35,9.35003,19.7,0.3,1000.04,999.13,0.3,0.279147,0.226933,0.50608,0.2166,0.208768,0,0.3,0,0,,0,0,0,0.499967,0,5.48955,1,1,0,0,0,0,0,0.500032,0.499968
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","MutOptLiability4",0.0376,0,0.0376172,0.499986,1,1,1,1,0.72457,0.275391,,,0,,,,,0,0,1,0.499983,10.35,9.35002,19.7,0.3,1000.04,999.13,0.3,0.262479,0.207325,0.469804,0.191549,0.183276,0,0.3,0,0,,0,0,0,0.499983,0,4,1,1,0,0,0,0,0,0.500017,0.499983
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","0","3","MutOptLiability3",0.0707,0,0.0707201,0.499992,1,1,1,1,0.654758,0.345224,,,0,,,,,0,0,1,0.499991,10.35,9.35001,19.7,0.3,1000.04,999.13,0.3,0.252009,0.19501,0.447019,0.175814,0.167264,0,0.3,0,0,,0,0,0,0.499991,0,3,1,1,0,0,0,0,0,0.500009,0.499991
