"OptionSet","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","Abandoned",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","Rounds1",1,0,1,0.499992,1,1,1,1,0.505126,0.4942,,,0.797469,,,,,0,0,0.202531,0.503091,10.4688,9.47095,1000.08,999.428,0.0602848,0.138598,0.131775,0.270373,0.0923268,0.0936874,0,0,0.797469,0.497786,0,0,0,0.499991,0,-1.85688E-05,1,1,0,0,0.797469,0,0,0.10064,0.101892
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","Truly Liable",0.5,0,0.499991,0.722392,1,1,1,1,0.749337,0.735264,,,0.796201,,,,,0,0,0.203799,0.695938,10.7364,9.20313,1000.13,999.098,0.0604274,0.015956,0.263554,0.27951,0.00179505,0.187378,0,0,0.796201,0.781,0,0,0,1,0,-4.93863E-05,1,1,0,0,0.796201,0,0,0.0619676,0.141831
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","Truly Not Liable",0.5,0,0.500009,0.277601,1,1,1,1,0.260925,0.253145,,,0.798736,,,,,0,0,0.201264,0.307822,10.2011,9.73876,1000.04,999.759,0.0601422,0.261236,0,0.261236,0.182855,0,0,0,0.798736,0.215481,0,0,0,0,0,1.22476E-05,1,1,0,0,0.798736,0,0,0.139311,0.0619535
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","AllCount",4000,0,4000,0.499992,4000,4000,4000,4000,0.505126,0.4942,,,3189.87,,,,,0,0,810.126,1126.92,10.4688,9.47095,1000.08,999.428,0.0602848,0.138598,0.131775,0.270373,0.0923268,0.0936874,0,0,3189.87,0.497786,0,0,0,1999.96,0,-1.85688E-05,4000,4000,0,0,3189.87,0,0,402.559,407.566
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","Liability Strength1",0.1159,0,0.115877,0.05,1,1,1,1,0.0784768,0.0781562,,,0.936531,,,,,0,0,0.063469,0.0204164,10.038,9.9174,1000.01,999.963,0.0446403,0.0805067,0.0244024,0.104909,0.0114833,0.0236294,0,0,0.936531,0.065417,0,0,0,0.0253652,0,8.97708E-06,1,1,0,0,0.936531,0,0,0.0621735,0.0012958
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","Liability Strength2",0.1102,0,0.110239,0.15,1,1,1,1,0.113087,0.111313,,,0.876919,,,,,0,0,0.123081,0.0517848,10.0524,9.89628,1000.01,999.945,0.0513467,0.0980246,0.0524158,0.15044,0.0245543,0.0506046,0,0,0.876919,0.0864533,0,0,0,0.0553128,0,8.94245E-06,1,1,0,0,0.876919,0,0,0.116708,0.0063737
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","Liability Strength3",0.1002,0,0.100217,0.25,1,1,1,1,0.178558,0.173304,,,0.790471,,,,,0,0,0.209529,0.118043,10.0935,9.84545,1000.02,999.895,0.061072,0.136889,0.105514,0.242403,0.05926,0.100861,0,0,0.790471,0.133195,0,0,0,0.116395,0,1.22897E-05,1,1,0,0,0.790471,0,0,0.184796,0.0247335
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","Liability Strength4",0.09,0,0.0900083,0.35,1,1,1,1,0.285279,0.274043,,,0.695869,,,,,0,0,0.304131,0.235625,10.1884,9.73988,1000.04,999.777,0.0717148,0.202499,0.185535,0.388033,0.127436,0.172948,0,0,0.695869,0.227963,0,0,0,0.228605,0,2.43395E-05,1,1,0,0,0.695869,0,0,0.23247,0.071661
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","Liability Strength5",0.0837,0,0.0836696,0.45,1,1,1,1,0.429988,0.411757,,,0.630031,,,,,0,0,0.369969,0.404463,10.3524,9.56843,1000.07,999.569,0.0791215,0.26567,0.259031,0.5247,0.204822,0.229107,0,0,0.630031,0.388904,0,0,0,0.400016,0,4.07355E-05,1,1,0,0,0.630031,0,0,0.22033,0.149639
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","Liability Strength6",0.0837,0,0.0836692,0.55,1,1,1,1,0.589273,0.566522,,,0.626046,,,,,0,0,0.373954,0.595537,10.556,9.36442,1000.1,999.307,0.0795699,0.269273,0.266389,0.535662,0.226722,0.213081,0,0,0.626046,0.591664,0,0,0,0.599984,0,3.58542E-05,1,1,0,0,0.626046,0,0,0.151251,0.222703
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","Liability Strength7",0.09,0,0.0900068,0.65,1,1,1,1,0.730429,0.708242,,,0.687993,,,,,0,0,0.312007,0.764375,10.7343,9.19312,1000.13,999.083,0.0726007,0.205154,0.204975,0.410129,0.175327,0.135266,0,0,0.687993,0.764402,0,0,0,0.771395,0,-8.00279E-06,1,1,0,0,0.687993,0,0,0.0735166,0.23849
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","Liability Strength8",0.1002,0,0.100213,0.75,1,1,1,1,0.832074,0.814704,,,0.78457,,,,,0,0,0.21543,0.881957,10.8455,9.09277,1000.15,998.954,0.0617359,0.124485,0.136518,0.261002,0.103648,0.0630581,0,0,0.78457,0.866966,0,0,0,0.883605,0,-6.53715E-05,1,1,0,0,0.78457,0,0,0.02543,0.19
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","Liability Strength9",0.1102,0,0.110233,0.85,1,1,1,1,0.893067,0.881744,,,0.874225,,,,,0,0,0.125775,0.948215,10.8979,9.05042,1000.15,998.904,0.0516497,0.065199,0.0964195,0.161618,0.0523253,0.0257643,0,0,0.874225,0.915405,0,0,0,0.944687,0,-9.99377E-05,1,1,0,0,0.874225,0,0,0.00651323,0.119262
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","Liability Strength10",0.1159,0,0.115867,0.95,1,1,1,1,0.924677,0.918284,,,0.935652,,,,,0,0,0.064348,0.979584,10.9188,9.0365,1000.16,998.891,0.0447391,0.0313508,0.0791823,0.110533,0.024491,0.0117729,0,0,0.935652,0.936008,0,0,0,0.974635,0,-0.000104755,1,1,0,0,0.935652,0,0,0.00131375,0.063034
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","PLiabilitySignal1",0.0863,0,0.08626,0.149352,1,1,1,1,0.05,0.13248,,,1,,,,,0,0,0,,10.0725,9.89001,1000.02,999.948,0.0375,0.0964901,0.0704875,0.166978,0.0184556,0.0632777,0,0,1,0.09124,0,0,0,0.0809518,0,-1.88523,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","PLiabilitySignal2",0.102,0,0.10203,0.190383,1,1,1,1,0.05,0.164853,,,1,,,,,0,0,0,,10.0887,9.87382,1000.03,999.938,0.0375,0.102411,0.0974649,0.199875,0.0224144,0.0847581,0,0,1,0.107426,0,0,0,0.116849,0,-1.15786,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","PLiabilitySignal3",0.1068,0,0.10676,0.250256,1,1,1,1,0.05,0.21916,,,1,,,,,0,0,0,,10.1158,9.84667,1000.03,999.92,0.0375,0.108968,0.141181,0.250149,0.0276773,0.117604,0,0,1,0.13458,0,0,0,0.178836,0,-0.58081,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","PLiabilitySignal4",0.1042,0,0.10421,0.334236,1,1,1,1,0.05,0.305184,,,1,,,,,0,0,0,,10.1588,9.80366,1000.04,999.892,0.0375,0.113372,0.206683,0.320055,0.033395,0.16308,0,0,1,0.177592,0,0,0,0.279183,0,-0.20768,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","PLiabilitySignal5",0.1008,0,0.10075,0.441376,1,1,1,1,0.35,0.424654,,,0.55927,,,,,0,0,0.44073,0.224286,10.3454,9.56754,1000.07,999.622,0.0870821,0.203687,0.21377,0.417456,0.141175,0.144284,0,0,0.55927,0.534949,0,0,0,0.42018,0,-0.03883,1,1,0,0,0.55927,0,0,0.34188,0.0988497
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","PLiabilitySignal6",0.1008,0,0.10075,0.558629,1,1,1,1,0.700972,0.560005,,,0.533331,,,,,0,0,0.466669,0.394417,10.5463,9.36374,1000.09,999.305,0.0900002,0.210579,0.184713,0.395292,0.181262,0.128519,0,0,0.533331,0.770431,0,0,0,0.579827,0,0.03874,1,1,0,0,0.533331,0,0,0.282606,0.184062
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","PLiabilitySignal7",0.1042,0,0.10421,0.665769,1,1,1,1,0.95,0.681099,,,0.58698,,,,,0,0,0.41302,0.549043,10.7439,9.1721,1000.12,998.997,0.0839648,0.191498,0.119518,0.311016,0.177992,0.0912645,0,0,0.58698,0.95,0,0,0,0.720823,0,0.20759,1,1,0,0,0.58698,0,0,0.186254,0.226766
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","PLiabilitySignal8",0.1068,0,0.10676,0.749734,1,1,1,1,0.95,0.769419,,,0.70317,,,,,0,0,0.29683,0.664706,10.8335,9.09557,1000.14,998.915,0.0708934,0.148648,0.101526,0.250175,0.135331,0.0621587,0,0,0.70317,0.95,0,0,0,0.821151,0,0.58099,1,1,0,0,0.70317,0,0,0.0995253,0.197305
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","PLiabilitySignal9",0.102,0,0.10203,0.809608,1,1,1,1,0.95,0.825887,,,0.78321,,,,,0,0,0.21679,0.760514,10.8822,9.0559,1000.15,998.877,0.0618889,0.111995,0.0874938,0.199489,0.0994052,0.0403523,0,0,0.78321,0.95,0,0,0,0.88314,0,1.15804,1,1,0,0,0.78321,0,0,0.0519183,0.164872
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","PLiabilitySignal10",0.0862,0,0.08624,0.850648,1,1,1,1,0.95,0.859944,,,0.83463,,,,,0,0,0.16537,0.832372,10.9066,9.03728,1000.15,998.862,0.0561041,0.085671,0.078516,0.164187,0.0740803,0.0264653,0,0,0.83463,0.95,0,0,0,0.919048,0,1.88523,1,1,0,0,0.83463,0,0,0.0277207,0.137649
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","DLiabilitySignal1",0.0863,0,0.0862637,0.149358,1,1,1,1,0.135558,0.05,,,0.834606,,,,,0,0,0.165394,0.167645,10.0373,9.90661,1000.01,999.932,0.0561069,0.0795833,0.0722411,0.151824,0.0265895,0.0725722,0,0,0.834606,0.05,0,0,0,0.080957,0,1.88536,1,1,0,0,0.834606,0,0,0.137667,0.0277276
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","DLiabilitySignal2",0.102,0,0.102029,0.190386,1,1,1,1,0.169476,0.05,,,0.783232,,,,,0,0,0.216768,0.239475,10.0559,9.88222,1000.01,999.896,0.0618864,0.0899894,0.0967669,0.186756,0.0406294,0.0976896,0,0,0.783232,0.05,0,0,0,0.116854,0,1.15791,1,1,0,0,0.783232,0,0,0.164858,0.0519106
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","DLiabilitySignal3",0.1068,0,0.106758,0.25026,1,1,1,1,0.226158,0.05,,,0.703188,,,,,0,0,0.296812,0.335291,10.0956,9.83354,1000.01,999.825,0.0708914,0.107357,0.131781,0.239138,0.0628114,0.133431,0,0,0.703188,0.05,0,0,0,0.178843,0,0.580883,1,1,0,0,0.703188,0,0,0.197294,0.0995183
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","DLiabilitySignal4",0.1042,0,0.104208,0.334228,1,1,1,1,0.315326,0.05,,,0.586989,,,,,0,0,0.413011,0.450952,10.1721,9.74394,1000.03,999.694,0.0839637,0.132406,0.174032,0.306438,0.092713,0.176027,0,0,0.586989,0.05,0,0,0,0.279173,0,0.207545,1,1,0,0,0.586989,0,0,0.226763,0.186248
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","DLiabilitySignal5",0.1008,0,0.100751,0.441373,1,1,1,1,0.438079,0.393613,,,0.596735,,,,,0,0,0.403265,0.637608,10.3769,9.54018,1000.08,999.515,0.0828673,0.217684,0.201369,0.419054,0.120038,0.172264,0,0,0.596735,0.263259,0,0,0,0.420176,0,0.0387763,1,1,0,0,0.596735,0,0,0.14614,0.257125
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","DLiabilitySignal6",0.1008,0,0.10075,0.558621,1,1,1,1,0.575522,0.548913,,,0.495868,,,,,0,0,0.504132,0.753369,10.5268,9.37903,1000.1,999.3,0.0942148,0.225481,0.214007,0.439488,0.134145,0.166442,0,0,0.495868,0.372041,0,0,0,0.579815,0,-0.0388902,1,1,0,0,0.495868,0,0,0.124335,0.379797
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","DLiabilitySignal7",0.1042,0,0.104206,0.665766,1,1,1,1,0.696837,0.95,,,1,,,,,0,0,0,,10.8047,9.15783,1000.15,999.121,0.0375,0.206508,0.11219,0.318698,0.163855,0.0348499,0,0,1,0.823418,0,0,0,0.72082,0,-0.207657,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","DLiabilitySignal8",0.1068,0,0.106754,0.749735,1,1,1,1,0.783946,0.95,,,1,,,,,0,0,0,,10.8482,9.11428,1000.15,999.044,0.0375,0.141232,0.107455,0.248687,0.118343,0.0288737,0,0,1,0.866973,0,0,0,0.821152,0,-0.580993,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","DLiabilitySignal9",0.102,0,0.102024,0.80961,1,1,1,1,0.838714,0.95,,,1,,,,,0,0,0,,10.8756,9.08689,1000.15,998.995,0.0375,0.0975873,0.100741,0.198329,0.0853471,0.023335,0,0,1,0.894357,0,0,0,0.883143,0,-1.15802,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","DLiabilitySignal10",0.0863,0,0.0862547,0.850647,1,1,1,1,0.871175,0.95,,,1,,,,,0,0,0,,10.8918,9.07066,1000.15,998.966,0.0375,0.0706117,0.0947883,0.1654,0.0637157,0.0191522,0,0,1,0.910588,0,0,0,0.91905,0,-1.88533,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","MutOptLiability5",0.0266,0,0.0266096,0.499977,1,1,1,1,0.913662,0.100124,,,0,,,,,0,0,1,0.499968,10.425,9.42503,1000.06,999.223,0.15,0.221238,0.182082,0.403319,0.192941,0.188536,0,0,0,,0,0,0,0.499967,0,5.48955,1,1,0,0,0,0,0,0.500032,0.499968
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","MutOptLiability4",0.0376,0,0.0376172,0.499986,1,1,1,1,0.790402,0.204699,,,0,,,,,0,0,1,0.499983,10.425,9.42502,1000.06,999.223,0.15,0.202364,0.161002,0.363366,0.168947,0.164294,0,0,0,,0,0,0,0.499983,0,4,1,1,0,0,0,0,0,0.500017,0.499983
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","MutOptLiability3",0.0707,0,0.0707201,0.499992,1,1,1,1,0.672773,0.323838,,,0.354265,,,,,0,0,0.645735,0.50001,10.4449,9.44494,1000.07,999.297,0.110145,0.165881,0.140141,0.306022,0.13576,0.132867,0,0,0.354265,0.499953,0,0,0,0.499991,0,3,1,1,0,0,0.354265,0,0,0.322861,0.322874
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","MutOptLiability2",0.114,0,0.114034,0.499985,1,1,1,1,0.59579,0.402053,,,0.586081,,,,,0,0,0.413919,0.500005,10.4579,9.45798,1000.07,999.345,0.0840659,0.139813,0.123933,0.263746,0.111045,0.109261,0,0,0.586081,0.499965,0,0,0,0.499983,0,2,1,1,0,0,0.586081,0,0,0.206957,0.206962
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","MutOptLiability1",0.1576,0,0.157624,0.499989,1,1,1,1,0.542961,0.455829,,,0.752269,,,,,0,0,0.247731,0.5,10.4668,9.46787,1000.08,999.383,0.0653697,0.121226,0.112583,0.233808,0.0915863,0.0911197,0,0,0.752269,0.499259,0,0,0,0.499988,0,1,1,1,0,0,0.752269,0,0,0.123865,0.123866
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","MutOptLiability0",0.1868,0,0.186778,0.49999,1,1,1,1,0.503808,0.495682,,,0.965795,,,,,0,0,0.034205,0.5981,10.4742,9.48446,1000.09,999.454,0.0413481,0.106746,0.110638,0.217385,0.0654905,0.0723468,0,0,0.965795,0.490952,0,0,0,0.499988,0,0,1,1,0,0,0.965795,0,0,0.0137471,0.0204582
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","MutOptLiability-1",0.1576,0,0.157627,0.499994,1,1,1,1,0.465699,0.534364,,,1,,,,,0,0,0,,10.4813,9.48122,1000.09,999.47,0.0375,0.116419,0.11638,0.232799,0.0694204,0.0707666,0,0,1,0.500031,0,0,0,0.499993,0,-1,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","MutOptLiability-2",0.114,0,0.114036,0.499995,1,1,1,1,0.414735,0.586026,,,1,,,,,0,0,0,,10.4816,9.48087,1000.09,999.494,0.0375,0.131677,0.13129,0.262967,0.074293,0.0760065,0,0,1,0.50038,0,0,0,0.499994,0,-2,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Moderately Risk Averse Timing 0.25","3","MutOptLiability-3",0.0707,0,0.070724,0.499999,1,1,1,1,0.340829,0.660799,,,1,,,,,0,0,0,,10.4821,9.48044,1000.1,999.536,0.0375,0.157597,0.156781,0.314379,0.0814505,0.0837646,0,0,1,0.500814,0,0,0,0.499998,0,-3,1,1,0,0,1,0,0,0,0
