"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","POffer1Action1","DOffer1Action1","POffer1Action2","DOffer1Action2","POffer1Action3","DOffer1Action3","POffer1Action4","DOffer1Action4","POffer1Action5","DOffer1Action5","POffer1Action6","DOffer1Action6","POffer1Action7","DOffer1Action7","POffer1Action8","DOffer1Action8","POffer1Action9","DOffer1Action9","POffer1Action10","DOffer1Action10","POffer1Action11","DOffer1Action11","POffer1Action12","DOffer1Action12","POffer1Action13","DOffer1Action13","POffer1Action14","DOffer1Action14","POffer1Action15","DOffer1Action15","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","PLiabilitySignal9","PLiabilitySignal10","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","DLiabilitySignal9","DLiabilitySignal10","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","DWins",0.019,0,1,0.468629,1,1,1,1,0.966667,0.0333333,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,0,0,1,0,9.4,10,19.4,0.6,999.567,1000,0.6,0,0.699612,0.699612,0,1.11938,0,0.6,0,0,0,0,0,0,,0,0,0,0.437258,0,4.48703,0,0,0,0,0,0,0.415612,0.360134,0.160677,0.0635768,0.0832387,0.150943,0.242373,0.34428,0.179165,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","Abandoned",0.0444,0,1,0.469039,1,1,1,1,0.966667,0.0333333,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,0.881213,0.0739321,0,,9.82527,9.87473,19.7,0.3,999.877,999.776,0.3,0.0668955,0.493619,0.560514,0.0694525,0.641705,0,0.3,0,0,0,0,0,0,,0.90364,0.0963597,0.0448552,0.438079,0,2.90046,0,0,0,0,0,0.674234,0.271422,0.0257627,0.0176895,0.0108917,0.0845457,0.141448,0.21335,0.291647,0.26901,0,0,0,0,0,1,1,0,0,0,0.881213,0.0739321,0,0
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","Rounds1",0.7137,0,1,0.55685,1,1,1,1,0.650834,0.680499,,,0.338393,0.306608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.661607,0.693392,0.879458,,,,,0.0548804,0.00460436,0.061057,0.563443,10.48,9.20166,19.6817,0.318317,1000.07,998.906,0.318317,0.295065,0.242378,0.537442,0.241162,0.188965,0,0.318317,0,0,0,0,0,0.879458,0.688373,0.0548804,0.00460436,0,0.613701,0,0.491708,0,0,0,0.151465,0.150764,0.14886,0.150576,0.148775,0.136865,0.112695,0.0365195,0.0534806,0.0716353,0.0898769,0.104661,0.123443,0.135815,0.140598,0.132954,0.111016,1,1,0,0,0.879458,0.0548804,0.00460436,0.0266548,0.0344021
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","PrePrimary1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","PrePrimary2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","PrePrimary3",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","PrePrimary4",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","PrePrimary5",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","PrePrimary6",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","PrePrimary7",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","PrePrimary8",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","PrePrimary9",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","PrePrimary10",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","Truly Liable",0.5,0,1,0.75,0.878072,0.878072,1,1,0.753429,0.788234,,,0.228469,0.191178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771531,0.808822,0.791734,,,,,0.0327204,0.00415478,0.047394,0.648977,10.5308,9.1916,19.7224,0.27764,1000.09,998.868,0.27764,0.0889757,0.469245,0.558221,0.0195857,0.393407,0,0.27764,0,0,0,0,0,0.791734,0.800365,0.0337547,0.00518909,0.00206862,1,0,-6.97289E-05,0.0253088,0.0398091,0.0568098,0.0756974,0.0964231,0.118781,0.140504,0.155553,0.155553,0.13556,0.025309,0.039808,0.0568094,0.0756943,0.0964242,0.118781,0.140496,0.155547,0.155543,0.135588,0.878072,0.878072,0.121928,0,0.791734,0.0327204,0.00415478,0.0166365,0.0307578
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","Truly Not Liable",0.5,0,1,0.25,0.553312,0.553312,1,1,0.490301,0.504871,,,0.510392,0.494781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489608,0.505219,0.463602,,,,,0.0456153,0.00241747,0.039758,0.461484,10.1558,9.66625,19.8221,0.177921,1000.01,999.566,0.177921,0.333752,0,0.333752,0.326357,0,0,0.177921,0,0,0,0,0,0.463602,0.497119,0.0465748,0.00337688,0.00191881,0,0,-2.24103E-05,0.13559,0.155549,0.155549,0.140502,0.118777,0.0964195,0.0756965,0.0568084,0.0398081,0.0253013,0.135591,0.155547,0.15555,0.140497,0.11878,0.0964223,0.0756919,0.056807,0.0398059,0.0253084,0.553312,0.553312,0.446688,0,0.463602,0.0456153,0.00241747,0.0214103,0.0183477
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","Liability Strength1",0.5,0,1,0.25,0.553312,0.553312,1,1,0.490301,0.504871,,,0.510392,0.494781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489608,0.505219,0.463602,,,,,0.0456153,0.00241747,0.039758,0.461484,10.1558,9.66625,19.8221,0.177921,1000.01,999.566,0.177921,0.333752,0,0.333752,0.326357,0,0,0.177921,0,0,0,0,0,0.463602,0.497119,0.0465748,0.00337688,0.00191881,0,0,-2.24103E-05,0.13559,0.155549,0.155549,0.140502,0.118777,0.0964195,0.0756965,0.0568084,0.0398081,0.0253013,0.135591,0.155547,0.15555,0.140497,0.11878,0.0964223,0.0756919,0.056807,0.0398059,0.0253084,0.553312,0.553312,0.446688,0,0.463602,0.0456153,0.00241747,0.0214103,0.0183477
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","Liability Strength2",0.5,0,1,0.75,0.878072,0.878072,1,1,0.753429,0.788234,,,0.228469,0.191178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771531,0.808822,0.791734,,,,,0.0327204,0.00415478,0.047394,0.648977,10.5308,9.1916,19.7224,0.27764,1000.09,998.868,0.27764,0.0889757,0.469245,0.558221,0.0195857,0.393407,0,0.27764,0,0,0,0,0,0.791734,0.800365,0.0337547,0.00518909,0.00206862,1,0,-6.97289E-05,0.0253088,0.0398091,0.0568098,0.0756974,0.0964231,0.118781,0.140504,0.155553,0.155553,0.13556,0.025309,0.039808,0.0568094,0.0756943,0.0964242,0.118781,0.140496,0.155547,0.155543,0.135588,0.878072,0.878072,0.121928,0,0.791734,0.0327204,0.00415478,0.0166365,0.0307578
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","PLiabilitySignal1",0.0804,0,1,0.328647,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,,10,10,20,0,1000,1000,0,0,0.157293,0.157293,0,0.157293,0,0,0,0,0,0,0,0,,0,0,0,0.157293,0,-1.94378,1,0,0,0,0,0,0,0,0,0,0.23244,0.23935,0.20424,0.14673,0.09036,0.04859,0.02319,0.00992,0.00383,0.00135,0,0,1,0,0,0,0,0,0
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","PLiabilitySignal2",0.0977,0,1,0.351885,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,,10,10,20,0,1000,1000,0,0,0.203771,0.203771,0,0.203771,0,0,0,0,0,0,0,0,,0,0,0,0.203771,0,-1.25294,0,1,0,0,0,0,0,0,0,0,0.19713,0.21489,0.19721,0.15516,0.10659,0.06498,0.03553,0.01753,0.00782,0.00316,0,0,1,0,0,0,0,0,0
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","PLiabilitySignal3",0.1062,0,1,0.383757,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,,10,10,20,0,1000,1000,0,0,0.267513,0.267513,0,0.267513,0,0,0,0,0,0,0,0,,0,0,0,0.267513,0,-0.70484,0,0,1,0,0,0,0,0,0,0,0.15475,0.18142,0.18233,0.16002,0.12461,0.08706,0.05488,0.03128,0.01613,0.00752,0,0,1,0,0,0,0,0,0
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","PLiabilitySignal4",0.1081,0,1,0.425061,1,1,1,1,0.0333333,0.371078,,,1,0.63813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36187,1,,,,,0,0,0,,10.0522,9.64779,19.7,0.3,1000,999.767,0.3,0.205555,0.308508,0.514063,0.0938522,0.290901,0,0.3,0,0,0,0,0,1,0.202206,0,0,0,0.350122,0,-0.32435,0,0,0,1,0,0,0,0,0,0,0.1092,0.1402,0.15719,0.15636,0.13955,0.11239,0.08184,0.05391,0.03211,0.01725,1,1,0,0,1,0,0,0,0
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","PLiabilitySignal5",0.1076,0,1,0.474028,1,1,1,1,0.0333333,0.495173,,,1,0.505172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494828,1,,,,,0,0,0,,10.1143,9.58575,19.7,0.3,1000.02,999.712,0.3,0.201964,0.370185,0.572149,0.10253,0.328779,0,0.3,0,0,0,0,0,1,0.264253,0,0,0,0.448057,0,-0.08869,0,0,0,0,1,0,0,0,0,0,0.06756,0.09676,0.12296,0.14019,0.14423,0.13417,0.1129,0.08591,0.05898,0.03634,1,1,0,0,1,0,0,0,0
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","PLiabilitySignal6",0.1076,0,1,0.525974,1,1,1,1,0.742792,0.624691,,,0.239865,0.366402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.760135,0.633598,0.721485,,,,,0.265881,0,0,,10.3609,9.33908,19.7,0.3,1000.04,999.154,0.3,0.28105,0.300876,0.581926,0.252311,0.280033,0,0.3,0,0,0,0,0,0.721485,0.754672,0.272198,0.00631679,0.0126336,0.551948,0,0.0886,0,0,0,0,0,1,0,0,0,0,0.03633,0.05898,0.08591,0.1129,0.13417,0.14423,0.14019,0.12296,0.09676,0.06757,1,1,0,0,0.721485,0.265881,0,0,0
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","PLiabilitySignal7",0.1081,0,1,0.574936,1,1,1,1,0.966667,0.737376,,,0,0.245668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.754332,0.754332,,,,,0.0976791,0.00805411,0.134067,0.454456,10.6139,9.04589,19.6598,0.34022,1000.08,998.534,0.34022,0.380296,0.205268,0.585564,0.372119,0.171383,0,0.34022,0,0,0,0,0,0.754332,0.966667,0.100613,0.0109882,0.0058681,0.649873,0,0.32444,0,0,0,0,0,0,1,0,0,0,0.01726,0.03211,0.05391,0.08184,0.11239,0.13955,0.15636,0.15719,0.1402,0.10919,1,1,0,0,0.754332,0.0976791,0.00805411,0.0731394,0.0609276
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","PLiabilitySignal8",0.1062,0,1,0.616243,1,1,1,1,0.966667,0.820402,,,0,0.156712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.843288,0.843288,,,,,0,0.0107845,0.145928,0.557848,10.7422,8.91406,19.6562,0.343778,1000.11,998.307,0.343778,0.382133,0.164543,0.546676,0.359415,0.0951743,0,0.343778,0,0,0,0,0,0.843288,0.966667,0,0.0107845,0,0.732487,0,0.70484,0,0,0,0,0,0,0,1,0,0,0.00752,0.01613,0.03128,0.05488,0.08706,0.12461,0.16002,0.18233,0.18142,0.15475,1,1,0,0,0.843288,0,0.0107845,0.0645223,0.0814055
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","PLiabilitySignal9",0.0977,0,1,0.648115,1,1,1,1,0.966667,0.874223,,,0,0.099047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.900953,0.900953,,,,,0,0.00804934,0.090998,0.656119,10.7848,8.88794,19.6727,0.327299,1000.13,998.319,0.327299,0.331356,0.159697,0.491053,0.286641,0.0644749,0,0.327299,0,0,0,0,0,0.900953,0.966667,0,0.00804934,0,0.796229,0,1.25294,0,0,0,0,0,0,0,0,1,0,0.00316,0.00782,0.01753,0.03553,0.06498,0.10659,0.15516,0.19721,0.21489,0.19713,1,1,0,0,0.900953,0,0.00804934,0.0312923,0.0597053
"Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15","0","31775","PLiabilitySignal10",0.0804,0,1,0.671355,1,1,1,1,0.966667,0.906507,,,0,0.0644571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.935543,0.935543,,,,,0,0.00601904,0.058438,0.74268,10.8044,8.87804,19.6825,0.317531,1000.14,998.341,0.317531,0.287468,0.159648,0.447116,0.227019,0.0479064,0,0.317531,0,0,0,0,0,0.935543,0.966667,0,0.00601904,0,0.842711,0,1.94369,0,0,0,0,0,0,0,0,0,1,0.00134,0.00383,0.00992,0.02319,0.04859,0.09036,0.14673,0.20424,0.23935,0.23245,1,1,0,0,0.935543,0,0.00601904,0.0150373,0.0434008
