Using SequenceForm
Game: LitigationGame: Specification-ModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits
CollapseChanceDecisions True
NumOffers 10   
NumPotentialBargainingRounds 1  BargainingRoundsSimultaneous True SimultaneousOffersUltimatelyRevealed True 
NumLiabilityStrengthPoints 2 NumLiabilitySignals 10 PLiabilityNoiseStdev 0.2 DLiabilityNoiseStdev 0.2 CourtLiabilityNoiseStdev 0.2 
NumDamagesStrengthPoints 1 NumDamagesSignals 1 PDamagesNoiseStdev 0.1 DDamagesNoiseStdev 0.1 CourtDamagesNoiseStdev 0.15 
SkipFileAndAnswerDecisions False AllowAbandonAndDefaults True PredeterminedAbandonAndDefaults True IncludeAgreementToBargainDecisions False DeltaOffersOptions N/A 
CostsMultiplier 1 PTrialCosts 0.15 DTrialCosts 0.15 PFilingCost 0.15 DAnswerCost 0.15 PerPartyCostsLeadingUpToBargainingRound 0 
LoserPays True Multiple 1 AfterAbandonment True Rule68 False Margin False (0.7)
PInitialWealth 10 DInitialWealth 10 
DamagesMin 0 DamagesMax 1 DamagesMultiplier 1
RegretAversion 0 
PUtilityCalculator CARA Alpha=2 DUtilityCalculator CARA Alpha=2 
LitigGameDisputeGenerator LitigGameUniformQualityDisputeGenerator QualityDistribution=Uniform(0,1);TruthGivenQuality=Bernoulli(q);GaussLegendreOrder=64
WarmStartOptions NoWarmStart for  iterations
Initializing all game paths...
... Chance nodes 111 decision nodes 4900 (80 information sets) final nodes 40200 total nodes 45211 Initialization milliseconds 1226
Prepping accelerated best response...
... 357 milliseconds. Chance nodes 111 decision nodes 4900 (80 information sets) final nodes 40200 total nodes 45211
Calculating min-max...
... complete 141 milliseconds
Replay risk-averse-complete-cost-1: exact uniform prior, 480 validated actions; expect 1871 pivots.

Game tree has 45211 nodes, of which 40200 are terminal nodes.
    Player 0 has 111 information sets, 210 moves in total
    Player 1 has  40 information sets, 240 moves in total
    Player 2 has  40 information sets, 240 moves in total
Sequence form LCP dimension is 564
    Player 1 has 241 sequences, subject to  41 constraints
    Player 2 has 241 sequences, subject to  41 constraints
Prior 1 of 1
  Pivot 50/1871: z0=1, epsilon=0.3523, flow residual=2.78E-17 (31.2s)
... 1400 steps (4431627 ms) ...  Pivot 1400/1871: z0=0.8506, epsilon=0.3351, flow residual=1.11E-16 (4437.9s)
  Pivot 1450/1871: z0=0.8178, epsilon=0.3314, flow residual=1.67E-16 (4620.4s)
... 1500 steps (4780176 ms) ...  Pivot 1500/1871: z0=0.8476, epsilon=0.3323, flow residual=5.55E-17 (4786.7s)
  Pivot 1550/1871: z0=0.8566, epsilon=0.3323, flow residual=1.11E-16 (4962.4s)
... 1600 steps (5135724 ms) ...  Pivot 1600/1871: z0=0.8789, epsilon=0.336, flow residual=1.11E-16 (5142.6s)
  Pivot 1650/1871: z0=0.8461, epsilon=0.3313, flow residual=2.22E-16 (5312.0s)
... 1700 steps (5465230 ms) ...  Pivot 1700/1871: z0=0.8466, epsilon=0.3333, flow residual=5.55E-17 (5471.5s)
  Pivot 1750/1871: z0=0.8559, epsilon=0.335, flow residual=1.11E-16 (5622.4s)
... 1800 steps (5758426 ms) ...  Pivot 1800/1871: z0=0.4052, epsilon=0.223, flow residual=3.33E-16 (5764.1s)
  Pivot 1850/1871: z0=0.6418, epsilon=0.2845, flow residual=3.33E-16 (5907.9s)
  Pivot 1871/1871: z0=0, epsilon=2.274E-13, flow residual=1.11E-16 (5954.7s)
Complete after 1871 pivoting steps
Equilibrium 1
Elapsed milliseconds prior 1: 5954269
Verified original endpoint and 1871 pivots; 1872 frames; max saved probability difference 2.776E-17.
